iD,Response,Reviewer
3,It would help in communication with the computer and it's resources .and it provides an environment in which we can execute programs,2
3,Main purpose of the os is to provide an environment in which we execute programs. ,1
3,Operating system is system software which acts as an interface between a user of the computer and computer hardware the main purpose of an operating system is to provide an environment in which we can execute programs,2
3,"Operating system is a system software, which acts as Interface between the user of the computer and the other computer hardware. The main purpose of operating system to provide the environment in which we can excute programs",2
3,"The main purpose of an OS are:
Memory Management, Data Security, Disk Management, Process Management, Device Controlling.",2
3,Managing the computer hardware . providing common services to the software applications.proviing user friendly environment,2
3,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.",2
3,Operating system is the system software which acts as an interface between a user of the computer and the computer hardware the main purpose of the computer system is the provide an environment in which we can execute programs,2
3,"An operating system is the most important software that runs on a computer. It manages the computer's memory and processes, as well as all of its software and hardware. It also allows you to communicate with the computer without knowing how to speak the computer's language.",2
3," The operating system is the software that controls, manages and run all of the applications on the computer. The functions of an operating system include: Loading a software interface for the user to interact with (usually a GUI or CLI) Managing hardware resources such as memory and devices
What are ",3
3,"Booting. Booting is a process of starting the computer operating system starts the computer to work.
Memory Management.
Loading and Execution.
Data Security.
Disk Management.
Process Management.
Device Controlling.
Printing Controlling.",2
3,An Operating System acts as a communication bridge (interface) between the user and computer hardware. The purpose of an operating system is to provide a platform on which a user can execute programs in a convenient and efficient manner. An operating system is a piece of software that manages the allocation of computer hardware.,3
3,"Operating SystemÂ (OS) isÂ systemÂ software, which acts as an interface between a user of the computer and the computer hardware. TheÂ main purpose of an Operating SystemÂ is to provide an environment in which we can execute programs.
1.Booting. 
2.Memory Management.
3.Loading and Execution.
4.Data Security.
5.Disk Management.
6.Process Management.
7.Device Controlling.
8.Printing Controlling.",3
3,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware.",1
3,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.",2
3,Manage all the internals of a system along with computations and integration of other devices .,1
3,The main purpose of an Operating System is to provide an environment in which we can execute programs.,1
3,OS acts as an interface between a user of the computer and the computer hardware,1
3,"1. Booting:Booting is a process of starting the computer operating system starts the computer to work.
2. Memory Management.
3. Loading and Execution.
4. Data Security.
5. Disk Management.
6. Process Management.
7. Device Controlling.
8. Printing Controlling.",2
3,"Following are some of important functions of an operating System.

1.Memory Management. Memory management refers to management of Primary Memory or Main Memory. Main memory is a large array of words or bytes where each word or byte has its own address
2.Processor Management In multiprogramming environment, the OS decides which process gets the processor when and for how much time. This function is called process scheduling An Operating System does the following activities for processor management âˆ’

Keeps tracks of processor and status of process. The program responsible for this task is known as traffic controller.

Allocates the processor (CPU) to a process.

De-allocates processor when a process is no longer required.

3.Device Management An Operating System manages device communication via their respective drivers. It does the following activities for device management âˆ’

Keeps tracks of all devices. Program responsible for this task is known as the I/O controller.Decides which process gets the device when and for how much time

4.File Management A file system is normally organized into directories for easy navigation and usage. These directories may contain files and other directions.

5.Security âˆ’ By means of password and similar other techniques, it prevents unauthorized access to programs and data.",3
3,"An operating system has three main functions:
 (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, 
(2) establish a user interface, and 
(3) execute and provide services for applications software.",3
3,"The main purpose of an Operating System is to provide an environment in which we can execute programs.It has three main functions: 
(1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, 
(2) establish a user interface, and)execute and provide services for applications software. ",2
3,"Multitasking operating systems use a single CPU to work on a number of tasks. The operating system determines which task the CPU will work on at any given time, pausing tasks as needed, so that all tasks are completed as efficiently as possible. ",2
3,"The main purpose of an Operating system is to handle input/output (diskdrives ,and external devices) ,manage CPU (Resource management) and  to provide a UI to the user.",1
3,"It works like as bridge in between hardware and software, and primary purpose of an operating system is it manages all the resources of hardware and software that are connected with computer",2
3,"(1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers
(2) establish a user interface, and
(3) execute and provide services for applications software.",3
3,It acts as a interface between user and software and manages hardware part and resources ,1
3,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.
 Booting. Booting is a process of starting the computer operating system starts the computer to work.
Memory Management.
Loading and Execution.
Data Security.
Disk Management.
Process Management.
Device Controlling.
Printing Controlling.
An operating system has three main functions: (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",3
3,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. 
An operating system has three main functions: 
(1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, 
(2) establish a user interface, and 
(3) execute and provide services for applications software.",2
3,An operating system is software that manages computer hardware and software. It supplies an interface for the user and important utilities for managing the computer,2
3,"An operating system is a software which performs all the basic tasks like handling input and output,memory management.operating system is a interface between a computer user and computer hardware. It's main purpose is to provide an environment in which we can execute programs",3
3,"An operating system is an interface between a computer user and computer hardware. A operating system is a software which performs tasks like memory management, handling input and output.its main purpose is to provide an environment to execute programs",3
3,"An operating system is the most important software that runs on a computer. It manages the computer's memory and processes, as well as all of its software and hardware. It also allows you to communicate with the computer without knowing how to speak the computer's language.
",2
3,"An operating system has three main functions: (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",3
3,"An operating system has three main functions:
 (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, 
(2) establish a user interface, and 
(3) execute and provide services for applications software.
",3
3,"Memory management, Data security, Booting",1
3,"1.program execution is done through  os 
2.I/O operations are performed
3.File system Manipulation etc.. ",2
3,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.
 Booting. Booting is a process of starting the computer operating system starts the computer to work.
Memory Management.
Loading and Execution.
Data Security.
Disk Management.
Process Management.
Device Controlling.
Printing Controlling.
An operating system has three main functions: (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",2
3,Provide an environment in which we can execute programs.,1
3,"An operating system has three main functions:
(1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers.
(2) establish a user interface
(3) execute and provide services for applications software.",3
3,"operating system is system software, which acts as An interface between a user of the computer and the computer hardware. the main purpose of An operating system is to provide An environment in which we can execute programs.",2
3,"An operating system has three main functions: 
(1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers 
(2) establish a user interface
(3) execute and provide services for applications software.",3
3,"An operating system has three main functions:
(1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers.
(2) establish a user interface
(3) execute and provide services for applications software.",3
3,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.
 Booting. Booting is a process of starting the computer operating system starts the computer to work.
Memory Management.
Loading and Execution.
Data Security.
Disk Management.
Process Management.
Device Controlling.
Printing Controlling.
An operating system has three main functions: (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",2
3,"An operating system has three main functions: (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",3
3,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.",2
3,"There are multiple advantages to multiprocessor systems. Some of these are âˆ’

More reliable Systems

In a multiprocessor system, even if one processor fails, the system will not halt. This ability to continue working despite hardware failure is known as graceful degradation. For example: If there are 5 processors in a multiprocessor system and one of them fails, then also 4 processors are still working. So the system only becomes slower and does not ground to a halt.

Enhanced Throughput

If multiple processors are working in tandem, then the throughput of the system increases i.e. number of processes getting executed per unit of time increase. If there are N processors then the throughput increases by an amount just under N.

More Economic Systems

Multiprocessor systems are cheaper than single processor systems in the long run because they share the data storage, peripheral devices, power supplies etc. If there are multiple processes that share data, it is better to schedule them on multiprocessor systems with shared data than have different computer systems with multiple copies of the data.

Disadvantages of Multiprocessor Systems
There are some disadvantages as well to multiprocessor systems. Some of these are:

Increased Expense

Even though multiprocessor systems are cheaper in the long run than using multiple computer systems, still they are quite expensive. It is much cheaper to buy a simple single processor system than a multiprocessor system.

Complicated Operating System Required

There are multiple processors in a multiprocessor system that share peripherals, memory etc. So, it is much more complicated to schedule processes and impart resources to processes.than in single processor systems. Hence, a more complex and complicated operating system is required in multiprocessor systems.

Large Main Memory Required

All the processors in the multiprocessor system share the memory. So a much larger pool of memory is required as compared to single processor systems.",0
3,"Operating system is a system software, which acts as an interface between user of computer and the computer hardware.
 The main purpose of an Operating System is to provide an environment in which we can execute programs.",2
3,"Manage computer memory, processes and athe operation of all hardware and software.",1
3,It manage the computer resources and process the requests and execute the processes.,1
3,Process handling and management.,1
3,"Error detection
Memory management
Accounting
Coordination between other software and users",2
3,"The purpose of operating systems is to manage computer memory, processes and the operation of all hardware and software. An operating system is the most important software on a computer as it enables the computer hardware to communicate effectively with all other computer software.",2
3,To provides environment in which we can execution programs,1
3,"To maintain the memory allocation and deallocation, and to increase processor speed ",1
3,eflbdvf,0
3,"An operating system is the most important software that runs on a computer. It manages the computer's memory and processes, as well as all of its software and hardware. It also allows you to communicate with the computer without knowing how to speak the computer's language. Without an operating system, a computer is useless.Your computer's operating system (OS) manages all of the software and hardware on the computer. Most of the time, there are several different computer programs running at the same time, and they all need to access your computer's central processing unit (CPU), memory, and storage. The operating system coordinates all of this to make sure each program gets what it needs.",3
3,"It can manage cpu, disks, memory, resources, hardware, input devices, output devices",1
3,The operating system provides the ways to interact with the system cpu and to do work based on certain problem. It provides different applications called programs  for the users to perform different activities. ,2
3,bridge with hardware and sofware,1
3,bridge with hardware and sofware,1
3,eflbdv,0
3,It provides an environment to execute programs.,1
3,To provide an interface between user and hardware. It also provides basis for application programs,1
3,The main purpose of operating system is form communication between user and hardware .,1
3,"Operating system is system software,which acts as an interface between a user of the computer and the computer hardware.The main purpose of an operating system is to provide an environment in which we can execute programs.",2
3,"1.Manage a computer's resources,such as the cpu, memory and printers
2.Establish a user interface .
3.Execute and provide services for applications software",2
3,"Single processor system contains only one processor while multiprocessor systems may contain two or more processors. ... On the other hand, multiprocessor systems have many processors that can perform different tasks. This can be done in symmetric or asymmetric multiprocessing",0
3,"operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. ... ",1
3,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.
Controls the backing store and peripherals such as scanners and printers.
Deals with the transfer of programs in and out of memory.
Organises the use of memory between programs.
Organises processing time between programs and users.
Maintains security and access rights of users.
Deals with errors and user instructions",2
3,"The two main goal of the Operating System is 1) primary goal : convenience Â» interaction between the user and Hardware 
2) secondary goal : Efficiency 

 it is in the case of Personal Computers, 
Where's in case of super computers it's vice versa 

In case if we don't have Operating System,  we are supposed to write entire code. 

If many people need the same functionality instead of asking every one to implement it, Operating System is going to provide it at one place by system calls. So that the user can directly use the functionality need not to bother about their implementation. ",3
3,"(1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",3
3,"1.An operating system is the most important software that runs on a computer. It manages the computer's memory and processes,also its software and hardware. 
2.It also allows you to communicate with the computer.
3.Acts as interface between user and hardware. ",3
3,"The two main goal of the Operating System is 1) primary goal : convenience Â» interaction between the user and Hardware 
2) secondary goal : Efficiency 

 it is in the case of Personal Computers, 
Where's in case of super computers it's vice versa 

In case if we don't have Operating System,  we are supposed to write entire code. 

If many people need the same functionality instead of asking every one to implement it, Operating System is going to provide it at one place by system calls. So that the user can directly use the functionality need not to bother about their implementation.",1
3,Main purpose of the operating system is to provide an environment for the user to operate hardware and to proper managing of hardware resources for computing,1
3,"Main puropses of an operating system
Program Execution
Handling Input/Output Operations
Manipulation of File System
Error Detection and Handling
Resource Allocation
Accounting
Information and Resource Protection.",2
3,"primary purpose and goal of an operating system is to manage all resources of hardware and software.
Some other purposes are Memory Management, Perform all Loading and Execution tasks, Peripheral Controlling",2
3,"Operating systems is system software,which acts as an interface between a user of the computer and the computer hardware.",1
3,The purpose of os is to provide a platform on which user can execute programs in an efficient manner. Os is a piece of software that manages all computer hardware & locations,1
3,"The main purpose of an Operating system is to manage all Resources of hardware and software . Some other purposes are memory management , file management , execution tasks etc.",1
3,"An operating system as 3 main functions:
Manage the computer resources.
Establish a user interface and
Execute and provide services for application software.",3
3,"Controls the backing store and peripherals such as scanners and printers.
Deals with the transfer of programs in and out of memory.
Organises the use of memory between programs.
Organises processing time between programs and users.
Maintains security and access rights of users.
Deals with errors and user instructions.",3
3,"Operating system serves as many purposes.
1.Operating system can be considered as 
 a translator between user and computer.
2.cpu can understand only 0s and 1s that we use today.
3.That are written in some high level language like c or java etc.
",1
3,"The Main Purpose of Operating System is:
1) To Manage a computerâ€™s resources. This includes, among other things, the Central Processing Unit (CPU), Memory, Disk Drives, Printers, etc.
2)Establish a user interface. As previously discussed, it provides a bridge between user and computer.
3) Execute and provide services for software. As it says, it interacts with software in order to allot it any of the necessary resources for it to run.",3
3," manage all resources of hardware and software is the main goal.
Some other purposes are Memory Management, Perform all Loading and Execution tasks, Peripheral Controlling",2
3,"primary purpose and goal of an operating system is to manage all resources of hardware and software.
Some other purposes are Memory Management, Perform all Loading and Execution tasks, Peripheral Controlling",2
3,"The Main Purpose of Operating System is:
1) To Manage a computerâ€™s resources. This includes, among other things, the Central Processing Unit (CPU), Memory, Disk Drives, Printers, etc.
2)Establish a user interface. As previously discussed, it provides a bridge between user and computer.
3) Execute and provide services for software. As it says, it interacts with software in order to allot it any of the necessary resources for it to run.",3
3,"Operating system serves as many purposes.
1.Operating system can be considered as 
 a translator between user and computer.
2.cpu can understand only 0s and 1s that we use today.
3.That are written in some high level language like c or java etc.",1
3,"primary purpose and goal of an operating system is to manage all resources of hardware and software.
Some other purposes are Memory Management, Perform all Loading and Execution tasks, Peripheral Controlling",1
3,"Deals with the transfer of programs in and out of memory.
Organises the use of memory between programs.
Organises processing time between programs and users.
",2
3,"The Main Purpose of Operating System is:
1) To Manage a computerâ€™s resources. This includes, among other things, the Central Processing Unit (CPU), Memory, Disk Drives, Printers, etc.
2)Establish a user interface. As previously discussed, it provides a bridge between user and computer.
3) Execute and provide services for software. As it says, it interacts with software in order to allot it any of the necessary resources for it to run.",3
3, The main purpose of an Operating System is to provide an environment in which we can execute programs.,1
3,The main purpose Of an operating system is to provide an environment in which we can execute programs,1
3,"It is a system software that manages computer hardware, software resources and provides common services for computer programs",1
3,It manages the computer memory and it's processes its an interface between the user and hardware which allows us to communicate with computer ,2
3,"The purpose of operating systems is to manage computer memory, processes and the operation of all hardware and software. An operating system is the most important software on a computer as it enables the computer hardware to communicate effectively with all other computer software",2
3,"1. Deals with the transfer of programs in and out of a memory.
2. Organises the use of memory  between programs.
3.organises processing time  between programs and users.",2
3,Operating System is something which acts like an interface between user of the computer and the computer hardware. Its main purpose is to provide an environment in which we can execute our programs.,2
3,"The main purpose of an Operating System is to provide an environment in which we can execute programs.
1,Controls the backing store and peripherals such as scanners and printers.
2,Deals with the transfer of programs in and out of memory.
3.Organises the use of memory between programs.
4.Organises processing time between programs and users.
5.Maintains security and access rights of users.
6.Deals with errors and user instructions.",3
3,"Operating system is the interface between user and hardware devices.it is system software,and also it is peace of software that manages the allocation of computer hardware.the main purpose of operating system is to provide an platforms on which a user can execute programs in a convenient and efficient manner.",2
3,"The main purpose of operating system is to provide an environment in which we execute programs. the main purpose of operating system is to provide convenience for the users and to have efficiency. The purpose of operating systems is to manage computer memory, processes and the operation of all hardware and software. An operating system is the most important software on a computer as it enables the computer hardware to communicate effectively with all other computer software. ",2
3,Operating system is the interface between the user and the computer. It gives environment for the programs to execute.,1
3,"An operating system has three main functions:
 (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers,
 (2) establish a user interface, and
 (3) execute and provide services for applications software.",3
3,It provides an environment in which we can execute the program because os is interface between the user of the computer and computer hardware,1
3,To provide an environment in which we can execute programs,1
3,"1.provide an environment
2.to provide an environment in which we can exicute programs
",1
3,"An operating system has three main functions: 
1.manage the computer's resources, such as the central processing unit, memory, disk drives.
2.establish a user interface.
3.execute and provide services for applications software. ",3
3,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware. 
*The main purpose of an Operating System is to provide an environment in which we can execute programs.
*Controls the backing store and peripherals such as scanners and printers.
*Deals with the transfer of programs in and out of memory.
*Organises the use of memory between programs.
*Organises processing time between programs and users.
*Maintains security and access rights of users.
Deals with errors and user instruction",3
3,The main purpose of an operating system is to provide an environment in which we can execute programs.,1
3,"The main purpose of the operating system is to allow User  to execute programs in convenient and efficient manner.Operating System is responsible  for the following:
1.execution of all processes
2.CPU Management
3.Resource Allocation
4.File management and many other .
Thus it makes easy for the user to execute programs or provides the environment for user to execute the programs in a much efficient manner.",3
3,"Operating system has three main functions  1. Manage the computer's resources  such as the central processing  unit , memory, disk drives, and printers 2. Establish  a user interface, and 3.execte and provide services  functions  application software the main purpose  if operating  system  is to provide  an environment in which  we can execute  programs ",3
3,"It is an interface between the user of the computer and the computer hardware. 
The main purpose of operating system is to provide an environment in which we can execute programs.
It maintains the security and access right of users
It also organises the use of memory between programs.",3
3,"The operating system serves many purposes :- 
1. primary purpose and goal of an Operating system is to manage all the resources of hardware and software connected with computer. 
     Without operating system all computer system are helpless, because operating system create the interface between user and hardware. 
2. It is the responsibility  operating system is to translate the high level language to low level language  which the computer can understand. 
",3
3,"- Manages the computer hardware 
- Designed to be convenient and efficient 
- Helpful to the user 
               - Acts as an intermediary between the user and the computer hardware 
                             - user interface (CUI/shell and GUI) 
               - Facilitates execution of application programs 
                             - program execution 
               - I/O operation 
               - file system manipulation 
               - communication 
               - error detection 
- Helpful to the system 
               - The operating system provides the means for proper use of the resources in the 
                  operation of the computer system.
                            - resource allocation 
               - accounting 
               - protection and security
- Caching 
- Input-output management
- Manages processes, storages, memory etc..",3
3,To provide environment in which we can execute programs,1
3,"An operating system has three main functions: (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software.",3
3,"1) manage the computer's resources, such as the central processing unit, memory and printers
 (2) establish a user interface
(3) execute and provide services for applications software",3
3,"An operating system has three main functions:
1.manage the computer's resouces,such as the central processing unit,memory,disk drives,and printers
2.establish a user interface
3.execute and provide services for applications of software",3
3,The operating system is a system software. Which act as interface between a user of the computer hardware. The main purpose of on operating system is to provide an environment in which we can execute programs. ,2
3,to provide an environment in which we can execute programs.,1
3,"Operating System is system software, which acts as an interface between a user of the computer and the computer hardware.The main purpose of an Operating system is to provide an environment in which we can execute programs. ",2
3,The main purpose of Operating system is to provide an environment in which we can execute programs.Operating system is a set of programs that lies between software and hardware of a computer.,2
3,Main purpose is to provide an environment in which we can execute programs,1
3,"Operating system is system software,which acts as an interface between a user of the computer and the computer hardware.The main purpose of an operating system is to provide an environment in which we can execute program.
",2
3,Is to provide an environment in which we can execute programs.,1
3,"It is a software that manages computer hardware, software resources, and provides common services for computer programs.",1
3,"An O.S manges the computer's resources,such as the central processing unit,memory disk drives and printers and establish a user interface
Excute and provides services for applications software",2
3,Operating system is system software which acts as an interface between a user of the computer and the computer hardware. The main purpose of an operating system is to provide an environment in which we can execute program. ,2
3,"An operating system has three main functions: manage the computes resources,such as the central processing unit, memory,disk drives,and printers.2.establish a user interface,and 3.execute and provide services for application software",3
3,"OS is a system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an OS is to provide an environment in which we can execute program
",2
3,"Manage the computer resoures such as central processing unit , memory ,disk drive and printers.
Establish a user interface and.
Execute and provide services for applications software.",3
3,"The main purpose of an operating system is to provide an environment in which we can execute programs. (OS) operating system is system software, which acts as an interface between a user of the computer and the computer hardware. ",2
3,"Operating System isÂ systemÂ software, which acts as an interface between a user of the computer and the computer hardware. TheÂ main purpose of an Operating SystemÂ is to provide an environment in which we can execute programs.
Controls the backing store and peripherals such as scanners and printers.Deals with the transfer of programs in and out of memory.Organises the use of memory between programs.Organises processing time between programs and users.Maintains security and access rights of users.Deals with errors and user instructions.",2
3,"The main purpose of an operating system is to provide an environment in which we can execute programs
*An operating system is a piece  of software which manages the allocation of computer hardware",1
3,It is user friendly and able to communicate and operate with the system ,0
3,To convey message to hardware,1
3,To perform operatios,1
3,"An operating system has three main functions: (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, (2) establish a user interface, and (3) execute and provide services for applications software. Keep in mind, however, that much of the work of an operating system is hidden from the user; many necessary tasks are performed behind the scenes. In particular, the first listed function, managing the computer's resources, is taken care of without the user being aware of the details. Furthermore, all input and output operations, although invoked by an applications program, are actually carried out by the operating system. Although much of the operating system functions are hidden from view, you will know when you are using an applications software package, and this requires that you invoke-call into action-the operating system. Thus you both establish a user interface and execute software.",4
3,To manage both hardware and software components of computer ,1
3,To establish user interface,1
3,"It is used to manage everything in the computer like cpu, memory, etc…",2
3,"manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, ",2
3,It provides an environment for user to communicate with system and also sorts the data of computer and schedules the cpu processes in which order the processes need to be executed,1
3,Create an environment in which we can execute programs.,1
3,"manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, establish a user interface, and execute and provide services for applications software.",3
3,"Operating System is system software, which acts as an interface between a user of the computer and the computer hardware. The main purpose of an Operating System is to provide an environment in which we can execute programs.",2
3,To develop interaction with hardware to Solve our tasks,1
3,Acts as an interface,1
3,Exchanging the data from the kernel to application layers and user can interact with system easily through os. ,2
3,"manage the computer's resources, such as the central processing unit, memory, disk drives, and printers,  establish a user interface, and  execute and provide services for applications software.",2
3,"Operating systems manage the computer's resources like CPU, memory disk drives, and printers,establish a user interface, and execute and provide services. ",2
3,It manages computer memory and processes,2
3,To perform the tasks according to the instructions given to the computer ,1
3,The main purpose of operating system is to establish a connection between software and hardware.The user cannot directly interact with hardware so operating system helps the user by providing a path to deal with hardware.,2
3,"An operating system has three main functions:  manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, establish a user interface, and execute and provide services for applications software.",3
3,"The purpose of operating system is to provide an environment in which a user can execute programs.
->The two goals: 
     * Make the computer system convenient to use .
     * Use the computer hardware in efficient manner.",2
3," (1) manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, 
(2) establish a user interface, and
 (3) execute and provide services for applications software",3
3,handle the execution of various programs on computer,1
3,"Operating system has three main function
1) manage the computer resources
2) establish a user interface
3) execute and provide services for application software",3
3,"1) Memory management
2) Storage and allocation of resources
3) Scheduling of process
4) File management
5) Effective utilisation of cpu",4
3,"It has 3 main functions.They are
1. Manages computer resources like CPU,memory etc,.
2.establish user interface
3.executes and provides services to software.",3
3,"The purpose of operating systems is to manage computer memory, processes and the operation of all hardware and software. An operating system is the most important software on a computer as it enables the computer hardware to communicate effectively with all other computer software.

1.Program Execution: The Operating System is responsible for execution of all types of programs whether it be user programs or system programs. The Operating System utilises various resources available for the efficient running of all types of functionalities.
2.Handling Input/Output Operations: The Operating System is responsible for handling all sort of inputs, i.e, from keyboard, mouse, desktop, etc. The Operating System does all interfacing in the most appropriate manner regrading all kind of Inputs and Outputs.
For example, there is difference in nature of all types of peripheral devices such as mouse or keyboard, then Operating System is responsible for handling data between them.
3.Manipulation of File System: The Operating System is responsible for making of decisions regarding the storage of all types of data or files, i.e, floppy disk/hard disk/pen drive, etc. The Operating System decides as how the data should be manipulated and stored.
4.Error Detection and Handling: The Operating System is responsible for detection of any types of error or bugs that can occur while any task. The well secured OS sometimes also acts as countermeasure for preventing any sort of breach to the Computer System from any external source and probably handling them.
5.Resource Allocation: The Operating System ensures the proper use of all the resources available by deciding which resource to be used by whom for how much time. All the decisions are taken by the Operating System.
6.Accounting: The Operating System tracks an account of all the functionalities taking place in the computer system at a time. All the details such as the types of errors occurred are recorded by the Operating System.Information and Resource 
7.Protection: The Operating System is responsible for using all the information and resources available on the machine in the most protected way. The Operating System must foil an attempt from any external resource to hamper any sort of data or information.",5
3,"The main purpose of an Operating System is to provide an environment in which we can run or execute programs.to make this easy the functions involve in this are:
Memory Management.
Processor Management.
Device Management.
File Management.
Security.
Control over the performance of the system
Accounting for jobs.
Error detecting aids.",5
3,"1) Memory management
2)Storage and allocation of resources
3) Scheduling of process
4) File management
5) Effective utilisation of cpu",4
3,Operating system which acts like interface between the hardware and CPU. Processes are send through that which helps in completion of task. Make the CPU work easier and faster.,3
3,"1.Memory management
2.Processor Management
3.Device Management.
4.File Management.
5.security
6.Error detecting aids
7.Control over system performance.
8.job accounting.
",4
3,to provide an environment in which we can execute programs.,1
3,It manages the memory of the system for allocating process,1
3,"Managing computer resources
Establishing user interface
Providing services for application software",3
3,"Manage computer resources
Establish user interface
Provide services for application software",3
3,It act has an  interface between user and software ,1
3,"Operating system serves as many purposes.
1.Operating system can be considered as 
 a translator between user and computer.
2.cpu can understand only 0s and 1s that we use today.
3.That are written in some high level language like c or java etc.",3
3,It is an interface between user and hardware ,1
3,"Manage the computer resources
Establish user interface
Execute and provide service",2
3,Handle multi tasks,1
3,"Three main purposes of an operating system  are managing the computers resources such as cpu,memory,disk drivers and printers. Second is establish a user interface and last is execute and provide services for application software. ",3
3,"1.manage the computer's resources, such the central processing unit,memory,disk drives,and printers.
2.establish a user interface.
3.execute and provide services for applications software.
",3
3,Manage computer hardware,1
4,"Multitasking operating systems use a single CPU to work on a number of tasks. The operating system determines which task the CPU will work on at any given time, pausing tasks as needed, so that all tasks are completed as efficiently as possible.",3
4,"Multitasking operating systems use a single CPU to work on a number of tasks. The operating system determines which task the CPU will work on at any given time, pausing tasks as needed, so that all tasks are completed as efficiently as possible.",3
4,"When multitasking, latency or delay is noticeable only on applications that require higher resources; like, for instance, higher memory or graphics capabilities. This is because, during multitasking, the operating system executes more than one task by sharing common resources like the CPU and memory.",3
4,It switches the work from one to another based one which has high priority ,1
4,sharing the resources between them,1
4,"Operating system handle multiple task by locating CPU resources
Context switch
Handle hardware interpretation",1
4,Threads ,1
4,by creating threads,1
4,"Multitasking, in an operating system, is allowing a user to perform more than one computer task (such as the operation of an application program) at a time. The operating system is able to keep track of where you are in these tasks and go from one to the other without losing information.",3
4,OS handles multiple tasks by CPU scheduling algorithm.,1
4,"New tasks can interrupt already started ones before they finish, instead of waiting for them to end. As a result, a computer executes segments of multiple tasks in an interleaved manner, while the tasks share common processing resources such as central processing units (CPUs) and main memory.",3
